test_id,student_id,math,science,social_science,english,computer,exam_date
1,1,53,55,38,78,54,2026-01-10
2,1,82,58,77,51,56,2026-02-07
3,1,53,45,45,61,61,2026-03-08
4,1,65,69,51,75,63,2026-04-07
5,1,69,49,55,60,68,2026-05-05
6,2,35,56,25,27,54,2026-01-10
7,2,33,55,28,49,47,2026-02-07
8,2,62,38,32,39,40,2026-03-07
9,2,63,54,32,38,32,2026-04-06
10,2,25,42,55,72,50,2026-05-02
11,3,71,50,48,55,55,2026-01-12
12,3,73,42,52,86,53,2026-02-07
13,3,40,49,47,31,66,2026-03-10
14,3,59,47,65,51,51,2026-04-05
15,3,49,33,71,53,66,2026-05-02
16,4,57,59,67,63,87,2026-01-11
17,4,61,65,55,42,59,2026-02-08
18,4,71,84,55,66,74,2026-03-09
19,4,66,59,73,48,56,2026-04-07
20,4,43,54,63,65,72,2026-05-02
21,5,74,81,59,81,39,2026-01-12
22,5,51,72,54,86,93,2026-02-08
23,5,70,84,66,48,57,2026-03-10
24,5,59,85,77,56,75,2026-04-07
25,5,52,60,53,74,85,2026-05-04
26,6,80,61,39,50,49,2026-01-12
27,6,43,66,62,64,50,2026-02-08
28,6,42,64,31,54,60,2026-03-10
29,6,41,29,57,60,60,2026-04-05
30,6,60,66,62,57,68,2026-05-05
31,7,44,47,59,49,74,2026-01-11
32,7,55,74,77,41,51,2026-02-09
33,7,45,50,50,64,71,2026-03-09
34,7,55,50,54,51,75,2026-04-05
35,7,42,54,47,60,59,2026-05-03
36,8,80,66,88,76,76,2026-01-11
37,8,57,57,73,70,100,2026-02-09
38,8,75,64,49,77,86,2026-03-09
39,8,74,57,71,66,91,2026-04-07
40,8,82,84,92,77,68,2026-05-02
41,9,57,57,25,57,59,2026-01-13
42,9,47,52,38,49,63,2026-02-09
43,9,66,58,78,58,63,2026-03-07
44,9,59,51,58,76,66,2026-04-04
45,9,48,39,44,64,66,2026-05-02
46,10,45,54,40,55,47,2026-01-10
47,10,40,49,52,82,62,2026-02-10
48,10,58,58,57,55,34,2026-03-09
49,10,53,41,62,77,48,2026-04-05
50,10,45,47,50,60,55,2026-05-04
51,11,27,44,43,38,59,2026-01-10
52,11,70,74,43,36,72,2026-02-07
53,11,52,39,49,48,75,2026-03-09
54,11,62,41,47,57,40,2026-04-07
55,11,51,36,52,42,48,2026-05-04
56,12,53,25,50,68,55,2026-01-13
57,12,73,83,76,64,58,2026-02-08
58,12,34,71,62,66,77,2026-03-07
59,12,72,64,51,76,69,2026-04-05
60,12,58,56,39,76,48,2026-05-05
61,13,64,50,74,68,81,2026-01-12
62,13,63,85,74,65,68,2026-02-08
63,13,47,35,83,80,74,2026-03-08
64,13,78,70,82,70,58,2026-04-04
65,13,67,67,67,82,68,2026-05-05
66,14,50,56,65,68,78,2026-01-13
67,14,86,66,72,76,61,2026-02-08
68,14,53,45,78,55,71,2026-03-08
69,14,42,59,36,33,52,2026-04-05
70,14,53,66,63,31,68,2026-05-02
71,15,58,54,66,51,43,2026-01-12
72,15,55,40,49,52,74,2026-02-07
73,15,57,53,48,54,64,2026-03-10
74,15,35,66,51,55,56,2026-04-07
75,15,57,61,48,56,59,2026-05-03
76,16,60,36,70,56,77,2026-01-12
77,16,68,52,71,58,40,2026-02-08
78,16,71,67,66,56,57,2026-03-09
79,16,55,53,61,55,62,2026-04-06
